slug,name,weight,crystal,hourMarkers,hands,glassTreatment,dialFinish,waterResistance,caseThickness,caseMaterial,bezel,bracelet,clasp,lume
royal-oak-blue-essential,"Audemars Piguet — Royal Oak — Blue Dial - Essential",,,,,,,,,,,,,
royal-oak-blue-dial,"Audemars Piguet — Royal Oak — Blue Dial · 41mm",,,,,,,,,,,,,
royal-oak-black-essential,"Audemars Piguet — Royal Oak — Black Dial - Essential",,,,,,,,,,,,,
royal-oak-rosegold-essential,"Audemars Piguet — Royal Oak — Rose Gold - Essential",,,,,,,,,,,,,
royal-oak-skeleton-black-essential,"Audemars Piguet — Royal Oak Skeleton — Black - Essential",,,,,,,,,,,,,
royal-oak-skeleton-rosegold-essential,"Audemars Piguet — Royal Oak Skeleton — Rose Gold - Essential",,,,,,,,,,,,,
royal-oak-skeleton-silver-essential,"Audemars Piguet — Royal Oak Skeleton — Silver - Essential",,,,,,,,,,,,,
royal-oak-skeleton-white-essential,"Audemars Piguet — Royal Oak Skeleton — White - Essential",,,,,,,,,,,,,
panthere-essential,"Cartier — Panthère de Cartier — Steel - Essential",,,,,,,,,,,,,
panthere-gold-tone,"Cartier — Panthère de Cartier — Gold Tone",,,,,,,,,,,,,
santos-black-essential,"Cartier — Santos de Cartier — Black Dial - Essential",,,,,,,,,,,,,
santos-blue-essential,"Cartier — Santos de Cartier — Blue Dial - Essential",,,,,,,,,,,,,
santos-black-classic-essential,"Cartier — Santos de Cartier — Black Dial - Classic Essential",,,,,,,,,,,,,
santos-gold-essential,"Cartier — Santos de Cartier — Gold Dial - Essential",,,,,,,,,,,,,
santos-silver-essential,"Cartier — Santos de Cartier — Silver Dial - Essential",,,,,,,,,,,,,
santos-silver-dial,"Cartier — Santos de Cartier — Silver Dial",,,,,,,,,,,,,
santos-skeleton-essential,"Cartier — Santos de Cartier Skeleton — Skeleton Dial - Essential",,,,,,,,,,,,,
aquanaut-blue-black,"Patek Philippe — Aquanaut — Blue/Black Dial",,,,,,,,,,,,,
nautilus-blue-dial,"Patek Philippe — Nautilus — Blue Dial",,,,,,,,,,,,,
aquanaut-black-essential,"Patek Philippe — Aquanaut — Black - Essential",,,,,,,,,,,,,
nautilus-black-essential,"Patek Philippe — Nautilus — Black Dial - Essential",,,,,,,,,,,,,
nautilus-blue-essential,"Patek Philippe — Nautilus — Blue Dial - Essential",,,,,,,,,,,,,
patek-skeleton-essential,"Patek Philippe — Calatrava Skeleton — Open-worked - Essential",,,,,,,,,,,,,
datejust-2tone-essential,"Rolex — Datejust — Two-Tone Steel & Gold",,,,,,,,,,,,,
datejust-31-gold-essential,"Rolex — Datejust 31 — Gold Dial - Essential",,,,,,,,,,,,,
datejust-31-pink-essential,"Rolex — Datejust 31 — Pink Dial - Essential",,,,,,,,,,,,,
datejust-36-black-dial,"Rolex — Datejust 36 — Black Dial",,,,,,,,,,,,,
datejust-41-black-essential,"Rolex — Datejust 41 — Black Dial - Essential",,,,,,,,,,,,,
datejust-41-blue-essential,"Rolex — Datejust 41 — Blue Dial - Essential",,,,,,,,,,,,,
datejust-41-chocolate-essential,"Rolex — Datejust 41 — Chocolate Dial - Essential",,,,,,,,,,,,,
